"STUID","YEAR","GENDER","RACETHN","MAJOR","DISTANCE","HS_GPA","COLLEGE_GPA","FIRST_GEN","ACT01","ACT02","ACT03","ACT04","ACT05","ACT06","ACT07","ACT08","ACT09","ACT10","ACT11","ACT12","ACT13","RATE1","RATE2","RATE3","RATE4","RATE5","RATE6","RATE7","AGREE_01","AGREE_02","AGREE_03","AGREE_04","AGREE_05","AGREE_06","AGREE_07","AGREE_08","AGREE_09"
"jdq07b","2013","female",6,"4","4",8,7,"1",2,1,2,3,2,3,1,1,2,3,2,2,1,3,5,3,1,1,3,2,3,5,6,1,4,4,6,4,3
"rV71jA","2015","female",4,"1","5",5,3,"1",2,2,1,2,3,3,1,2,1,2,2,3,2,5,4,1,2,4,1,2,4,1,3,1,1,5,6,2,1
"CIR6ZL","2012","female",6,"2","5",8,6,"1",3,1,1,1,3,2,3,2,2,2,3,2,2,5,5,1,1,5,3,1,6,1,4,6,5,6,4,1,4
"hy4sWe","2014","female",4,"3","4",8,7,"1",1,1,1,1,2,3,1,3,3,3,1,2,2,5,3,5,2,1,2,3,1,1,4,3,6,3,6,3,1
"cfx4mQ","2014","female",6,"3","5",8,7,"1",3,2,3,3,3,3,3,3,3,1,2,2,2,4,5,5,4,5,2,2,2,3,2,2,6,2,6,3,3
"SRfn7I","2013","male",6,"5","3",7,6,"1",1,3,2,3,3,1,3,3,1,2,2,1,1,4,5,1,4,4,3,4,5,4,4,5,4,4,6,5,2
"9evK5t","2012","female",4,"5","5",8,3,"1",1,2,1,1,3,1,2,1,3,1,2,2,1,1,4,5,5,1,5,4,2,2,5,2,6,1,1,2,4
"TddNAw","2014","female",6,"5","2",6,5,"1",2,1,1,3,3,1,3,2,1,3,3,1,3,1,2,2,3,2,4,1,2,4,2,2,1,1,6,5,6
"JXKJ2i","2015","female",6,"5","6",8,7,"1",3,3,3,1,3,2,3,2,1,2,1,3,2,2,5,2,2,5,2,4,3,2,3,1,1,4,1,4,5
"bY1JFt","2012","female",7,"6","5",4,3,"1",3,3,1,2,3,1,3,3,2,2,2,1,3,4,5,2,4,5,3,3,3,6,3,4,1,1,3,4,1
"gRx9ls","2014","male",6,"3","4",8,6,"1",3,2,3,2,1,2,2,3,2,2,2,3,1,2,5,3,4,4,2,5,1,3,5,2,5,4,6,1,3
"DP8xDN","2012","female",7,"6","4",NA,4,"2",2,1,3,2,3,3,1,3,3,2,2,1,2,1,1,4,4,2,3,3,3,5,2,1,4,1,3,2,5
"4IovgC","2015","female",6,"5","3",7,6,"1",1,1,3,3,3,2,1,2,2,1,1,1,3,3,1,4,3,1,1,4,5,2,5,4,4,2,6,2,4
"rLkmIg","2015","female",6,"6","3",5,6,"1",3,2,2,1,2,3,3,1,2,3,1,2,2,5,3,4,3,3,4,1,6,5,6,3,3,2,1,5,5
"ubb6d3","2013","male",6,"2","4",5,6,"1",3,1,1,1,3,2,3,1,3,3,3,3,2,5,2,3,1,3,5,2,1,5,2,5,5,6,5,3,6
"1Aq15X","2014","female",7,"3","1",8,6,"1",1,3,3,3,1,1,2,1,1,1,1,1,2,2,4,1,1,2,4,1,5,2,3,6,5,3,6,5,1
"jzyNEe","2013","male",7,"3","3",7,5,"1",3,2,1,2,2,2,3,3,1,3,3,3,2,4,3,1,1,5,1,4,3,4,5,2,4,5,5,4,6
"hm0tpf","2013","female",2,"3","5",6,5,"1",2,2,2,2,2,1,1,2,2,2,1,2,1,3,4,5,1,5,5,3,3,2,1,3,1,5,3,5,1
"aGMEuE","2012","female",6,"5","4",8,8,"1",1,1,2,3,1,2,1,2,1,2,1,1,2,3,5,2,4,1,2,1,3,1,2,3,5,2,5,6,6
"YDwARS","2014","female",6,"3","1",4,4,"1",3,2,2,1,3,3,1,1,2,1,1,3,3,5,1,5,2,4,2,1,3,5,1,6,5,3,3,3,5
"POeyDU","2014","male",6,"5","2",8,3,"1",1,3,3,2,2,2,2,3,2,1,3,2,3,5,2,3,3,3,3,2,2,2,2,1,2,1,3,3,6
"m0k4Dv","2015","female",2,"6","5",4,5,"1",2,1,3,1,3,1,1,3,1,3,1,3,3,1,5,3,5,5,5,2,3,1,4,1,4,1,3,5,6
"qai9yX","2015","male",2,"6","5",8,6,"1",2,2,2,3,1,2,1,1,2,2,3,2,1,4,5,2,1,1,4,5,3,2,5,2,3,1,2,1,4
"oA04B3","2014","female",6,"6","5",8,7,"1",3,1,1,2,1,2,3,1,2,1,1,3,3,2,4,5,1,4,4,5,6,6,6,3,6,2,5,5,2
"gAish1","2015","female",6,"2","5",NA,8,"2",1,2,1,1,2,1,3,1,2,3,1,3,3,4,2,4,5,4,1,2,2,1,3,6,6,5,6,2,5
"Cpi76J","2015","female",2,"6","1",8,3,"1",3,2,3,3,3,3,3,1,3,3,3,1,1,3,3,2,3,2,5,1,5,1,5,3,3,2,2,1,1
